,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Baseline,gopher-modern,multi,10_files,7.8826904296875,0.4528848174535427,7.830619812011719,7.4920654296875,8.209228515625,642.5977230072021,22.70796184005771,643.7339782714844,629.1718482971191,656.4338207244873,10240.0,0.0,10240.0,10240.0,10240.0,127.61049187926787,4.527190054173132,127.25753613311922,124.79551999558343,130.2029011973756
Baseline,gopher-modern,single,1kb.txt,18.08018684387207,4.031746071404915,16.084909439086914,15.868186950683594,19.41514015197754,79.44293022155762,5.502413570925195,76.52139663696289,76.25341415405273,84.83600616455078,1024.0,0.0,1024.0,1024.0,1024.0,103.50836006907575,7.046826252361815,107.05502460788772,96.56277293523836,107.43125525435389
Baseline,gopher-modern,single,1mb.txt,15.90428352355957,0.6960485073524912,15.63572883605957,15.362262725830078,16.254663467407227,111.28244400024414,23.406368970112865,108.13641548156738,100.90112686157228,110.8999252319336,1048576.0,0.0,1048576.0,1048576.0,1048576.0,77808.5008191311,14676.718965654576,77574.31169363939,75641.24125833498,83136.91096342714
Baseline,gopher-original,multi,10_files,19.51127052307129,8.31843621137482,15.588998794555664,15.552043914794922,17.014503479003906,193.09611320495605,25.4302186230129,184.82732772827148,179.89301681518555,204.58292961120603,10240.0,0.0,10240.0,10240.0,10240.0,429.9139666884965,54.093945105433484,443.224500439874,400.42441544699057,455.3817677323247
Baseline,gopher-original,single,1kb.txt,15.812540054321289,1.0019733406112539,16.00933074951172,14.920949935913086,16.03555679321289,15.822839736938477,1.0039610805341637,16.01886749267578,14.93072509765625,16.04461669921875,1024.0,0.0,1024.0,1024.0,1024.0,519.3708903876856,32.31291782050661,511.396951360362,510.5762358535426,548.6672580480327
Baseline,gopher-original,single,1mb.txt,16.166973114013672,0.9720583855668651,16.206979751586914,15.85674285888672,16.54815673828125,105.28321266174316,16.794750215357748,100.64959526062012,96.8475341796875,106.54330253601074,1048576.0,0.0,1048576.0,1048576.0,1048576.0,81142.00112426761,11567.796909981804,83344.67692869208,78734.25921976392,86616.63996974949
Baseline,http/1.1,multi,10_files,27.532291412353516,0.6400657793858099,27.67324447631836,27.14776992797852,27.85873413085937,295.29242515563965,18.292588368182106,289.0267372131348,281.4657688140869,302.3672103881836,10240.0,0.0,10240.0,10240.0,10240.0,278.240106256733,16.56322432182263,283.4339853464504,270.9288480547539,291.0478256207049
Baseline,http/1.1,single,1kb.txt,30.663681030273438,4.471584182307779,27.85587310791016,27.83393859863281,32.48262405395508,30.67455291748047,4.4719595917345,27.86397933959961,27.842283248901367,32.50622749328613,1024.0,0.0,1024.0,1024.0,1024.0,271.22286408277176,35.77923319685585,293.9996437751348,252.01324889798371,294.22874290754334
Baseline,http/1.1,single,1mb.txt,17.87848472595215,0.4904620311553696,17.89402961730957,17.67420768737793,18.29981803894043,172.97167778015137,121.82999775693105,106.2641143798828,95.71194648742676,202.97908782958984,1048576.0,0.0,1048576.0,1048576.0,1048576.0,65620.33246196319,32217.674678412364,78941.11807125805,41327.44949096735,87644.31513365965
Baseline,http/2,multi,10_files,70.57943344116211,14.807371054742356,71.28000259399414,58.43687057495117,72.19409942626953,90.95096588134766,14.104576468808174,83.44459533691406,82.26895332336426,96.70138359069824,10240.0,0.0,10240.0,10240.0,10240.0,916.617333208263,128.75447193391776,981.7292500400008,847.1440320516772,995.758383821991
Baseline,http/2,single,1kb.txt,39.644575119018555,5.666616139532224,40.99345207214356,37.53256797790527,43.50447654724121,40.03734588623047,5.608356010534705,41.21041297912598,38.68556022644043,43.70594024658203,1024.0,0.0,1024.0,1024.0,1024.0,208.28554992392142,32.99166204971433,198.78471016899144,187.43447581225865,211.75859809317205
Baseline,http/2,single,1mb.txt,33.22105407714844,1.9146838656241272,33.16092491149902,32.47356414794922,33.76340866088867,146.02417945861816,21.922843797304157,142.3544883728027,141.12424850463867,164.21937942504883,1048576.0,0.0,1048576.0,1048576.0,1048576.0,58585.49144784163,9555.229126291397,58927.59754811264,51081.717817772136,59441.2943833977
Baseline,http/3,multi,10_files,8.555173873901367,0.9183884285939672,8.337974548339844,7.897853851318359,9.454727172851562,264.8715019226074,47.13169651652766,251.4791488647461,229.95352745056152,311.6304874420166,10240.0,0.0,10240.0,10240.0,10240.0,317.1386372309645,55.405180210851114,325.75265333055233,262.875435174623,356.2458941518619
Baseline,http/3,single,1kb.txt,12.877368927001953,2.6705544766739826,13.316869735717772,13.137340545654297,13.515949249267578,214.52155113220215,24.880973322643058,216.28856658935547,212.42141723632807,230.38554191589355,1024.0,0.0,1024.0,1024.0,1024.0,38.646609279909526,4.970415919689034,37.875326140347006,35.55778688139483,38.56484956451468
Baseline,http/3,single,1mb.txt,11.945867538452148,0.5321242736719178,11.863231658935549,11.61479949951172,12.099981307983398,365.53359031677246,36.25507239259207,350.4030704498291,343.289852142334,362.9364967346192,1048576.0,0.0,1048576.0,1048576.0,1048576.0,23112.049189214747,2057.6856341153853,23939.88154621803,23113.15636612261,24435.933505316483
