,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Packet_Loss,gopher-original,single,1mb.txt,42.755126953125,,42.755126953125,42.755126953125,42.755126953125,12759.931802749634,,12759.931802749634,12759.931802749634,12759.931802749634,1048576.0,,1048576.0,1048576.0,1048576.0,657.4179337065376,,657.4179337065376,657.4179337065376,657.4179337065376
Packet_Loss,http/1.1,single,1mb.txt,121.32811546325684,,121.32811546325684,121.32811546325684,121.32811546325684,14713.66024017334,,14713.66024017334,14713.66024017334,14713.66024017334,1048576.0,,1048576.0,1048576.0,1048576.0,570.1238076094909,,570.1238076094909,570.1238076094909,570.1238076094909
Packet_Loss,http/3,single,1mb.txt,23.35500717163086,,23.35500717163086,23.35500717163086,23.35500717163086,2013.7300491333008,,2013.7300491333008,2013.7300491333008,2013.7300491333008,1048576.0,,1048576.0,1048576.0,1048576.0,4165.706323750005,,4165.706323750005,4165.706323750005,4165.706323750005
