,,,,ttfb,ttfb,ttfb,ttfb,ttfb,total_time,total_time,total_time,total_time,total_time,bytes,bytes,bytes,bytes,bytes,throughput,throughput,throughput,throughput,throughput
,,,,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3,mean,std,median,q1,q3
scenario,protocol,test_type,file,,,,,,,,,,,,,,,,,,,,
Baseline,gopher-original,multi,5_files,28.488636016845703,,28.488636016845703,28.488636016845703,28.488636016845703,132.7207088470459,,132.7207088470459,132.7207088470459,132.7207088470459,5120.0,,5120.0,5120.0,5120.0,308.6180020874089,,308.6180020874089,308.6180020874089,308.6180020874089
Baseline,http/1.1,multi,5_files,46.23675346374512,,46.23675346374512,46.23675346374512,46.23675346374512,81.63046836853027,,81.63046836853027,81.63046836853027,81.63046836853027,5120.0,,5120.0,5120.0,5120.0,501.77342870411206,,501.77342870411206,501.77342870411206,501.77342870411206
Baseline,http/3,multi,5_files,24.19114112854004,,24.19114112854004,24.19114112854004,24.19114112854004,310.9307289123535,,310.9307289123535,310.9307289123535,310.9307289123535,5120.0,,5120.0,5120.0,5120.0,131.73352194322993,,131.73352194322993,131.73352194322993,131.73352194322993
